A,B,ชื่อจังหวัด อักษรไทย,ชื่อจังหวัด อักษรโรมัน,จำนวนประชากร (คน),พื้นที่ (ตร.กม.),ความหนาแน่น ประชากร (คน/ตร.กม.),ดพม.[2],ตัวย่อ อักษรไทย,ตัวย่อ อักษรโรมัน,รหัส ไอเอสโอ,รหัสฟิปส์
west,0,กาญจนบุรี,Kanchanaburi,839776,19483.2,43.1,0.733,กจ,KRI,TH-71,TH50
west,1,ตาก,Tak,525684,16406.6,32.0,0.735,ตก,TAK,TH-63,TH08
west,2,ประจวบคีรีขันธ์,Prachuap Khiri Khan,509134,6367.6,80.0,0.868,ปข,PKN,TH-77,TH57
west,3,เพชรบุรี,Phetchaburi,464033,6225.1,74.5,0.7979999999999999,พบ,PBI,TH-76,TH56
west,4,ราชบุรี,Ratchaburi,839075,5196.5,161.5,0.726,รบ,RBR,TH-70,TH52
east,0,จันทบุรี,Chanthaburi,514616,6338.0,81.2,0.754,จบ,CTI,TH-22,TH48
east,1,ฉะเชิงเทรา,Chachoengsao,673933,5351.0,125.9,0.708,ฉช,CCO,TH-24,TH44
east,2,ชลบุรี,Chon Buri,1509125,4363.0,345.9,0.889,ชบ,CBI,TH-20,TH46
east,3,ตราด,Trat,220921,2819.0,78.4,0.675,ตร,TRT,TH-23,TH49
east,4,ปราจีนบุรี,Prachin Buri,466572,4762.4,98.0,0.755,ปจ,PRI,TH-25,TH74
east,5,ระยอง,Rayong,626402,3552.0,176.4,0.802,รย,RYG,TH-21,TH47
east,6,สระแก้ว,Sa Kaeo,485632,7195.1,75.6,0.688,สก,SKW,TH-27,TH80
south,0,กระบี่,Krabi,432704,4708.5,91.9,0.805,กบ,KBI,TH-81,TH63
south,1,ชุมพร,Chumphon,489964,6009.0,81.5,0.71,ชพ,CPN,TH-86,TH58
south,2,ตรัง,Trang,622659,4917.5,126.6,0.6920000000000001,ตง,TRG,TH-92,TH65
south,3,นครศรีธรรมราช,Nakhon Si Thammarat,1522561,9942.5,153.1,0.769,นศ,NRT,TH-80,TH64
south,4,นราธิวาส,Narathiwat,737162,4475.4,164.7,0.636,นธ,NWT,TH-96,TH31
south,5,ปัตตานี,Pattani,655259,1940.4,337.7,0.698,ปน,PTN,TH-94,TH69
south,6,พังงา,Phangnga,253112,4170.0,60.7,0.758,พง,PNA,TH-82,TH61
south,7,พัทลุง,Phatthalung,509534,3424.5,148.8,0.713,พท,PLG,TH-93,TH66
south,8,ภูเก็ต,Phuket,345067,543.0,635.5,0.921,ภก,PKT,TH-83,TH62
south,9,ยะลา,Yala,500814,4521.08,110.77,0.687,ยล,YLA,TH-95,TH70
south,10,ระนอง,Ranong,183079,3298.0,55.5,0.6779999999999999,รน,RNG,TH-85,TH59
south,11,สงขลา,Songkhla,1357023,7393.9,183.5,0.6809999999999999,สข,SKA,TH-90,TH68
south,12,สตูล,Satun,297163,2479.0,119.9,0.655,สต,STN,TH-91,TH67
south,13,สุราษฎร์ธานี,Surat Thani,1046772,12891.5,81.2,0.8490000000000001,สฎ,SNI,TH-84,TH60
