Date,Symbols,Close,High,Low,Open,Volume
2018-06-11,^SET,1723.11,1727.25,1716.33,1723.8,
2018-06-11,^DJI,25322.31,25402.83,25290.2,25336.67,276821832.0
2018-06-12,^SET,1727.29,1735.34,1725.91,1725.91,
2018-06-12,^DJI,25320.73,25364.37,25247.04,25346.82,265725748.0
2018-06-13,^SET,1718.34,1728.19,1716.77,1725.86,
2018-06-13,^DJI,25201.2,25362.07,25191.42,25328.65,329784159.0
2018-06-14,^SET,1709.86,1714.62,1700.03,1714.52,
2018-06-14,^DJI,25175.31,25332.5,25138.6,25254.65,341117350.0
2018-06-15,^SET,1704.82,1710.54,1695.66,1706.52,
2018-06-15,^DJI,25090.48,25130.82,24894.38,25116.71,659457895.0
2018-06-18,^SET,1679.68,1695.12,1679.68,1694.24,
2018-06-18,^DJI,24987.47,25003.1,24825.77,24944.28,336974005.0
2018-06-19,^SET,1639.54,1674.13,1634.6,1667.47,
2018-06-19,^DJI,24700.21,24763.59,24567.75,24763.59,376415787.0
2018-06-20,^SET,1664.26,1665.05,1641.11,1647.22,
2018-06-20,^DJI,24657.8,24804.76,24628.39,24771.17,359445573.0
2018-06-21,^SET,1634.44,1664.91,1630.1,1663.63,
2018-06-21,^DJI,24461.7,24639.21,24406.63,24639.21,349580652.0
2018-06-22,^SET,1634.98,1648.61,1628.39,1641.58,
2018-06-22,^DJI,24580.89,24663.18,24526.97,24526.97,473981852.0
2018-06-25,^SET,1622.28,1646.22,1621.38,1641.02,
2018-06-25,^DJI,24252.8,24463.73,24084.39,24463.73,439213125.0
2018-06-26,^SET,1623.98,1628.67,1608.51,1615.79,
2018-06-26,^DJI,24283.11,24384.21,24241.22,24281.89,301197073.0
2018-06-27,^SET,1618.66,1638.72,1616.31,1631.32,
2018-06-27,^DJI,24117.59,24569.02,24115.82,24303.11,313741384.0
2018-06-28,^SET,1599.54,1624.52,1599.54,1623.67,
2018-06-28,^DJI,24216.05,24308.16,23997.21,24064.19,305114509.0
2018-06-29,^SET,1595.58,1609.16,1584.74,1604.51,
2018-06-29,^DJI,24271.41,24509.52,24269.71,24323.93,329058660.0
2018-07-02,^SET,1607.27,1607.41,1586.34,1597.01,
2018-07-02,^DJI,24307.18,24319.42,24077.56,24161.53,244084103.0
2018-07-03,^SET,1626.62,1628.3,1600.71,1607.2,
2018-07-03,^DJI,24174.82,24444.88,24150.85,24359.39,160903211.0
