Date,^SET_Close,^DJI_Close,^SET_High,^DJI_High,^SET_Low,^DJI_Low,^SET_Open,^DJI_Open,^SET_Volume,^DJI_Volume,_SET_chg_first,_DJI_chg_first
2018-06-11,1723.11,25322.31,1727.25,25402.83,1716.33,25290.2,1723.8,25336.67,,276821832.0,0.0,0.0
2018-06-12,1727.29,25320.73,1735.34,25364.37,1725.91,25247.04,1725.91,25346.82,,265725748.0,0.2425846289557887,-0.006239557133613793
2018-06-13,1718.34,25201.2,1728.19,25362.07,1716.77,25191.42,1725.86,25328.65,,329784159.0,-0.27682504309068934,-0.4782739015516402
2018-06-14,1709.86,25175.31,1714.62,25332.5,1700.03,25138.6,1714.52,25254.65,,341117350.0,-0.7689584530297,-0.5805157586333931
2018-06-15,1704.82,25090.48,1710.54,25130.82,1695.66,24894.38,1706.52,25116.71,,659457895.0,-1.0614528381821198,-0.9155167913195927
2018-06-18,1679.68,24987.47,1695.12,25003.1,1679.68,24825.77,1694.24,24944.28,,336974005.0,-2.5204426879305353,-1.322312221910249
2018-06-19,1639.54,24700.21,1674.13,24763.59,1634.6,24567.75,1667.47,24763.59,,376415787.0,-4.84995154110881,-2.456726894189365
2018-06-20,1664.26,24657.8,1665.05,24804.76,1641.11,24628.39,1647.22,24771.17,,359445573.0,-3.415336223456422,-2.624207665098488
2018-06-21,1634.44,24461.7,1664.91,24639.21,1630.1,24406.63,1663.63,24639.21,,349580652.0,-5.145928002274946,-3.398623585289018
2018-06-22,1634.98,24580.89,1648.61,24663.18,1628.39,24526.97,1641.58,24526.97,,473981852.0,-5.1145893181514746,-2.927931930380767
2018-06-25,1622.28,24252.8,1646.22,24463.73,1621.38,24084.39,1641.02,24463.73,,439213125.0,-5.851628741055414,-4.223587816435392
2018-06-26,1623.98,24283.11,1628.67,24384.21,1608.51,24241.22,1615.79,24281.89,,301197073.0,-5.752969920666695,-4.1038909957267
2018-06-27,1618.66,24117.59,1638.72,24569.02,1616.31,24115.82,1631.32,24303.11,,313741384.0,-6.061713993883144,-4.757543841774314
