class,drv,cty,cyl,displ,hwy,year
2seater,r,15.4,8.0,6.16,24.8,2004.4
compact,4,18.0,4.666666666666667,2.4499999999999997,25.833333333333332,2005.0
compact,f,20.857142857142858,4.571428571428571,2.282857142857143,29.142857142857142,2002.6
midsize,4,16.0,6.666666666666667,3.3666666666666667,24.0,2005.0
midsize,f,18.973684210526315,5.2105263157894735,2.886842105263158,27.55263157894737,2003.5
minivan,f,15.818181818181818,5.818181818181818,3.3909090909090907,22.363636363636363,2003.090909090909
pickup,4,13.0,7.03030303030303,4.418181818181819,16.87878787878788,2003.6363636363637
subcompact,4,19.5,4.0,2.35,26.0,1999.0
subcompact,f,22.363636363636363,4.363636363636363,2.0136363636363637,30.545454545454547,2003.5
subcompact,r,15.88888888888889,7.111111111111111,4.377777777777777,23.22222222222222,2004.0
suv,4,13.823529411764707,6.745098039215686,4.256862745098039,18.274509803921568,2003.764705882353
suv,r,12.0,8.0,5.381818181818182,17.454545454545453,2003.909090909091
